id,param,val1
1,age,19
1,gender,ж
1,RegionBorn,Москва и Московская область
1,RegionLife,Москва и Московская область
1,education,студент
2,age,17
2,gender,ж
2,RegionBorn,Западнее Урала
2,RegionLife,Москва и Московская область
2,education,студент
3,age,17
3,gender,ж
3,RegionBorn,Западнее Урала
3,RegionLife,Москва и Московская область
3,education,студент
4,age,18
4,gender,ж
4,RegionBorn,Москва и Московская область
4,RegionLife,Москва и Московская область
4,education,среднее
5,age,18
5,gender,ж
5,RegionBorn,Москва и Московская область
5,RegionLife,Москва и Московская область
5,education,среднее
6,age,17
6,gender,ж
6,RegionBorn,Москва и Московская область
6,RegionLife,Москва и Московская область
6,education,студент
7,age,21
7,gender,ж
7,RegionBorn,Западнее Урала
7,RegionLife,Западнее Урала
7,education,студент
8,age,18
8,gender,ж
8,RegionBorn,Москва и Московская область
8,RegionLife,Москва и Московская область
8,education,среднее специальное
9,age,43
9,gender,ж
9,RegionBorn,Санкт-Петербург и Ленинградская область
9,RegionLife,Санкт-Петербург и Ленинградская область
9,education,высшее
10,age,18
10,gender,ж
10,RegionBorn,Москва и Московская область
10,RegionLife,Москва и Московская область
10,education,студент
11,age,18
11,gender,ж
11,RegionBorn,Москва и Московская область
11,RegionLife,Москва и Московская область
11,education,студент
12,age,19
12,gender,ж
12,RegionBorn,Москва и Московская область
12,RegionLife,Москва и Московская область
12,education,студент
13,age,15
13,gender,ж
13,RegionBorn,Москва и Московская область
13,RegionLife,Москва и Московская область
13,education,среднее
14,age,47
14,gender,ж
14,RegionBorn,Москва и Московская область
14,RegionLife,Москва и Московская область
14,education,высшее
15,age,27
15,gender,м
15,RegionBorn,Москва и Московская область
15,RegionLife,Москва и Московская область
15,education,высшее
16,age,27
16,gender,м
16,RegionBorn,Москва и Московская область
16,RegionLife,Москва и Московская область
16,education,высшее
17,age,15
17,gender,ж
17,RegionBorn,Москва и Московская область
17,RegionLife,Москва и Московская область
17,education,среднее
18,age,23
18,gender,ж
18,RegionBorn,Москва и Московская область
18,RegionLife,Москва и Московская область
18,education,высшее
19,age,19
19,gender,ж
19,RegionBorn,Москва и Московская область
19,RegionLife,Москва и Московская область
19,education,студент
20,age,19
20,gender,ж
20,RegionBorn,Москва и Московская область
20,RegionLife,Москва и Московская область
20,education,студент
21,age,53
21,gender,ж
21,RegionBorn,Москва и Московская область
21,RegionLife,Москва и Московская область
21,education,высшее
22,age,23
22,gender,ж
22,RegionBorn,Москва и Московская область
22,RegionLife,Москва и Московская область
22,education,высшее
23,age,23
23,gender,ж
23,RegionBorn,Москва и Московская область
23,RegionLife,Москва и Московская область
23,education,высшее
24,age,17
24,gender,ж
24,RegionBorn,Западнее Урала
24,RegionLife,Западнее Урала
24,education,среднее
25,age,14
25,gender,ж
25,RegionBorn,Москва и Московская область
25,RegionLife,Москва и Московская область
25,education,среднее
26,age,19
26,gender,ж
26,RegionBorn,Москва и Московская область
26,RegionLife,Москва и Московская область
26,education,студент
27,age,19
27,gender,м
27,RegionBorn,Москва и Московская область
27,RegionLife,Москва и Московская область
27,education,студент
28,age,20
28,gender,м
28,RegionBorn,Москва и Московская область
28,RegionLife,Москва и Московская область
28,education,студент
29,age,29
29,gender,ж
29,RegionBorn,Москва и Московская область
29,RegionLife,Москва и Московская область
29,education,высшее
30,age,45
30,gender,ж
30,RegionBorn,Москва и Московская область
30,RegionLife,Москва и Московская область
30,education,высшее
31,age,19
31,gender,м
31,RegionBorn,Москва и Московская область
31,RegionLife,Москва и Московская область
31,education,студент
32,age,18
32,gender,ж
32,RegionBorn,Москва и Московская область
32,RegionLife,Москва и Московская область
32,education,студент
33,age,18
33,gender,ж
33,RegionBorn,Москва и Московская область
33,RegionLife,Москва и Московская область
33,education,студент
34,age,19
34,gender,ж
34,RegionBorn,Москва и Московская область
34,RegionLife,Москва и Московская область
34,education,студент
35,age,19
35,gender,м
35,RegionBorn,Москва и Московская область
35,RegionLife,Москва и Московская область
35,education,студент
36,age,18
36,gender,ж
36,RegionBorn,Западнее Урала
36,RegionLife,Западнее Урала
36,education,студент
37,age,29
37,gender,ж
37,RegionBorn,Москва и Московская область
37,RegionLife,Москва и Московская область
37,education,высшее
38,age,17
38,gender,ж
